1	2	3	0	0
2	12	13	0	0
3	4	5	0	0
4	6	7	0	0
5	52	53	0	0
6	64	64	0	0
7	8	9	0	0
8	0	0	0	0
9	10	11	0	0
10	0	0	0	0
11	0	0	0	0
12	14	17	0	0
13	54	55	0	0
14	15	16	0	0
15	24	29	0	0
16	0	0	0	0
17	18	19	0	0
18	64	64	0	0
19	20	21	0	0
20	0	0	0	0
21	22	23	0	0
22	0	0	0	0
23	0	0	0	0
24	25	26	0	0
25	27	28	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	30	31	0	0
30	0	0	0	0
31	32	33	0	0
32	0	0	0	0
33	34	35	0	0
34	0	0	0	0
35	36	37	0	0
36	0	0	0	0
37	38	45	0	0
38	39	40	0	0
39	41	42	0	0
40	0	0	0	0
41	0	0	0	0
42	43	44	0	0
43	0	0	0	0
44	0	0	0	0
45	46	47	0	0
46	48	49	0	0
47	0	0	0	0
48	0	0	0	0
49	50	51	0	0
50	0	0	0	0
51	0	0	0	0
52	56	56	0	0
53	0	0	0	0
54	57	57	0	0
55	0	0	0	0
56	65	67	52	58
57	66	68	54	59
58	56	56	0	0
59	57	57	0	0
60	58	62	0	0
61	59	63	0	0
62	0	0	0	0
63	0	0	0	0
64	60	61	6	18
65	0	0	0	0
66	0	0	0	0
67	70	72	0	0
68	69	71	0	0
69	68	68	0	0
70	0	0	0	0
71	0	0	0	0
72	67	67	0	0
